菜谱,菜谱链接,用料,评分,用户,图片,菜系,用料数
手撕鸡腿肉（凉拌菜）,https://www.douguo.com/cookbook/2391792.html,"鸡腿,姜,小葱,红酒醋,生抽,蒜头,香油,盐,小红辣椒,青辣椒,香菜",5.0,imCc_v5,https://cp1.douguo.com/upload/caiku/f/c/8/400x266_fcdf20c020852ae97e9e37fd4a0cd138.jpg,川菜,11
川味家常菜~麻婆豆腐,https://www.douguo.com/cookbook/1064542.html,"豆腐,肉末",4.7,杜鹃花美食,https://cp1.douguo.com/upload/caiku/7/d/4/400x266_7d67be8a1735c66e062a07ee02fb1624.jpg,川菜,2
鱼香肉丝,https://www.douguo.com/cookbook/202193.html,"猪里脊肉,冬笋,胡萝卜,黑木耳,葱末,姜末,蒜末,剁椒,水淀粉",4.7,月亮晶晶,https://cp1.douguo.com/upload/caiku/e/f/9/400x266_ef1b8a39fa93c683e9328ae0d82bf289.jpg,川菜,9
水煮肉片—迷迭香,https://www.douguo.com/cookbook/1716724.html,"里脊肉,生菜",5.0,迷迭香Rosemary,https://cp1.douguo.com/upload/caiku/9/6/9/400x266_96575443d940a8a0700923416b83b099.jpg,川菜,2
麻辣香锅,https://www.douguo.com/cookbook/1501297.html,"五花肉,豆腐干,鱼丸,莲藕,香菇,虾,马铃薯,木耳,西兰花菜,炸腐皮",4.8,味谷的厨房,https://cp1.douguo.com/upload/caiku/4/0/d/400x266_40a823cba07e951a64a84dea8d891f5d.jpg,川菜,10
【母亲节】麻婆豆腐—妈妈的味道,https://www.douguo.com/cookbook/1551444.html,"北豆腐,猪肉,郫县豆瓣酱,小葱,生姜,大蒜,料酒,生抽,白糖,麻椒,清水,鸡精,盐,植物油,水淀粉",4.9,蜜思小琳,https://cp1.douguo.com/upload/caiku/3/3/4/400x266_33a49402ca69053262049b4c5fe786d4.jpeg,川菜,15
年夜饭年年有余-香辣沸腾鱼（龙利鱼零失败版）,https://www.douguo.com/cookbook/1506015.html,"龙利鱼,黄豆芽,香菜（可不加）,料酒,蛋清,淀粉,鲜汤,姜片,葱,鸡精,干红辣椒,花椒,香辣酱,盐",4.8,美国厨娘,https://cp1.douguo.com/upload/caiku/a/f/3/400x266_afff387f50abdf6daec5944eea622d83.jpeg,川菜,14
川菜 素 干煸豆角 快手家常菜 下饭菜,https://www.douguo.com/cookbook/1570523.html,"豇豆,蒜,花椒粒,干红辣椒,姜,酱油,油,盐 鸡精",4.9,揪揪耳朵,https://cp1.douguo.com/upload/caiku/1/b/d/400x266_1b55f7be28ac7339f41c012b3f265e7d.jpeg,川菜,8
辣子鸡#金龙鱼外婆乡小榨菜籽油 最强家乡菜#,https://www.douguo.com/cookbook/1595008.html,"鸡翅中,小鸡腿,干辣椒,湿红辣椒,金龙鱼外婆乡小榨菜籽油",4.7,爱生活的馋猫,https://cp1.douguo.com/upload/caiku/9/f/7/400x266_9fed581531b4b2807d2dd563ee80d5f7.jpg,川菜,5
川菜-不用片鱼的酸菜鱼-龙利鱼新吃法,https://www.douguo.com/cookbook/1281162.html,"龙利鱼,酸菜,蒜籽,姜片,料酒,盐,白胡椒,清汤,花椒油,泡椒",4.9,美国厨娘,https://cp1.douguo.com/upload/caiku/4/4/1/400x266_4444a4d1ee6d0fdd08df66d24904d2e1.jpeg,川菜,10
四川香辣水煮牛肉-在家做出饭店的味道#蔚爱边吃边旅行#,https://www.douguo.com/cookbook/1531672.html,"牛里脊,郫县豆瓣酱,辣椒酱,盐（腌制用）,鸡精（腌制用）,鸡蛋清（腌制用）,淀粉（腌制用）,清水（腌制用）,香油（腌制用）,姜丝,葱末,花椒,干红辣椒,生抽,鸡精,香葱末,白糖,辣椒面,花椒粉,白芝麻,香菜碎,色拉油,花椒油,青笋,大蒜",4.9,Tina厨房日记,https://cp1.douguo.com/upload/caiku/3/2/0/400x266_320639295a3f57c675f824e5892b8820.jpeg,川菜,25
鱼香肉丝,https://www.douguo.com/cookbook/2311673.html,"猪里脊肉,胡萝卜,黑木耳,蒜,香醋,生抽,白糖,豆瓣酱,青椒,淀粉",4.9,味谷的厨房,https://cp1.douguo.com/upload/caiku/6/3/f/400x266_63595c4269ef52f2c21e4551f76db8cf.jpg,川菜,10
秒胜川菜馆的红糖糍粑,https://www.douguo.com/cookbook/2312037.html,"糯米粉,温开水,红糖,熟黄豆粉,玉米油",4.8,马牙牙,https://cp1.douguo.com/upload/caiku/e/e/6/400x266_ee2f05572ea65cf71cc6dd0dbcf0f3b6.jpg,川菜,5
回锅肉,https://www.douguo.com/cookbook/814159.html,"五花肉,甜面酱,郫县豆瓣,花椒,酱油,料酒,白糖,鸡精,生姜,大蒜,青椒,蒜苗（也叫青蒜）,豆豉",4.8,飘泊的湖,https://cp1.douguo.com/upload/caiku/e/7/7/400x266_e7ba62e7854856cd71f90fd92a650647.jpg,川菜,13
泡椒柠檬凤爪,https://www.douguo.com/cookbook/1585705.html,"生鸡爪,泡椒、小米椒,新鲜柠檬,白醋,生抽,花椒,茴香,冰糖,冰水、冰块",4.8,柚子的微生活,https://cp1.douguo.com/upload/caiku/a/b/7/400x266_ab5127707bae80ca0039278f849f8fc7.jpg,川菜,9
酸汤肥牛,https://www.douguo.com/cookbook/1723778.html,"肥牛,金针菇,线椒,小米椒,黄辣椒酱（香辣型）,蒜,姜,白胡椒粉,盐,料酒,醋,水淀粉",4.9,婧家小厨,https://cp1.douguo.com/upload/caiku/c/c/3/400x266_cc587c58466e8b7cc0154653d5c11a83.jpg,川菜,12
少油的鱼香茄子,https://www.douguo.com/cookbook/183401.html,"茄子,青椒,蒜末,葱末,姜末",4.6,潘潘猫,https://cp1.douguo.com/upload/caiku/3/e/8/400x266_3e47a38b819d9d1a97aee4cea0ce4a88.png,川菜,5
年夜饭金玉满堂-金汤肥牛卷,https://www.douguo.com/cookbook/1506703.html,"肥牛卷,金针菇,黄豆芽,西红柿,黄灯笼椒,野山椒,姜片,大蒜籽,青椒,红椒,白醋,盐,高汤",4.7,美国厨娘,https://cp1.douguo.com/upload/caiku/b/a/b/400x266_ba6dc9b6e0a1d48044b42835af7f0aab.jpeg,川菜,13
鱼香肉丝,https://www.douguo.com/cookbook/2359189.html,"猪后腿（里脊肉）,胡萝卜,泡发黑木耳,青椒,小葱,豆瓣酱,肉丝腌制：姜片,淀粉,料酒,油,盐,鱼香汁：醋,糖,生抽,淀粉",4.9,薄荷糖的味道818,https://cp1.douguo.com/upload/caiku/d/e/d/400x266_de0fe6cc5df26af742ba5fd0eaa933bd.jpeg,川菜,15
蚂蚁上树,https://www.douguo.com/cookbook/1082074.html,"青椒,红椒,猪肉末,粉丝",4.7,缘豆儿,https://cp1.douguo.com/upload/caiku/7/0/a/400x266_70aaa7f5dca5c95135fa3f5f7265822a.jpg,川菜,4
麻辣鸡丝#盛年锦食.忆年味#,https://www.douguo.com/cookbook/1503357.html,"鸡胸脯肉,生姜,大葱,料酒,香菜,清水,麻辣酱汁：,陈醋,生抽,辣椒油,香油,白芝麻,花椒粉,食盐",4.9,深蓝小米粥,https://cp1.douguo.com/upload/caiku/6/c/0/400x266_6c9c2e8ac724598213bbfada3f697270.jpg,川菜,14
糖油粑粑,https://www.douguo.com/cookbook/1722914.html,"糯米粉,红糖,水",4.9,泥鳅的美食厨房,https://cp1.douguo.com/upload/caiku/9/b/3/400x266_9b2db81015b1befc84bf17fc5fffd203.jpg,川菜,3
啤酒鸭,https://www.douguo.com/cookbook/182086.html,鸭腿,4.7,绿野仙踪olivia,https://cp1.douguo.com/upload/caiku/4/c/f/400x266_4cb0c9c610074ecaf4320f0c373170ef.jpg,川菜,1
简单易做的下饭神器——鱼香茄子,https://www.douguo.com/cookbook/1669406.html,"茄子,大蒜,郫县辣酱,醋,酱油,糖,淀粉,料酒,耗油,指天椒,猪肉糜,鸡精",4.2,Miko的小厨房,https://cp1.douguo.com/upload/caiku/e/a/0/400x266_ea45d634a7f93df60b2c84b08335a270.jpeg,川菜,12
网红柠檬泡椒凤爪,https://www.douguo.com/cookbook/2068163.html,"鸡爪,柠檬,生姜,大蒜,青尖椒,小米辣,白醋,料酒,生抽,香油,盐,白砂糖",4.9,微微0214,https://cp1.douguo.com/upload/caiku/1/9/9/400x266_19147004769d3ca1aff743b6aaa05249.jpeg,川菜,12
水煮肉片,https://www.douguo.com/cookbook/62911.html,"里脊肉,包菜",4.7,板刀面与馄饨汤,https://cp1.douguo.com/upload/caiku/7/6/6/400x266_76d095ac985804e93a26558ea3d6f2d6.jpg,川菜,2
军屯锅盔#中粮我买，真实惠才是食力派#,https://www.douguo.com/cookbook/1625834.html,"面粉,水,酵母,花椒,盐,肉馅（肥瘦各半）,生姜,葱白,白胡椒粉,猪油,低粉,菜籽油",4.8,嘿牛牛,https://cp1.douguo.com/upload/caiku/f/7/e/400x266_f7b1b3d24731a5878749c7473d6b114e.jpeg,川菜,12
